,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
02:00 - 00:15,Cekis,"001.564","001.351","001.263","001.334","001.819","001.224","001.170","000.938","001.084","001.043","000.675","000.701","000.701","000.905","001.096","001.335","001.331","001.035","000.923","000.810","000.881","001.043","000.943","000.854","001.241","000.828","000.628","000.599","000.576","000.693","000.486",
02:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
02:00 - 00:30,Cekis,"001.551","001.342","001.248","001.334","001.691","001.224","001.170","000.911","001.084","001.043","000.659","000.699","000.697","000.906","001.095","001.335","001.329","001.032","000.922","000.812","000.878","001.044","000.944","000.811","001.230","000.828","000.649","000.598","000.576","000.692","000.486",
02:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
02:00 - 00:45,Cekis,"001.524","001.341","001.249","001.334","001.664","000.947","001.170","000.887","001.083","001.043","000.659","000.698","000.696","000.905","001.095","001.334","001.324","001.032","000.923","000.813","000.879","001.044","000.944","000.812","001.223","000.818","000.650","000.598","000.577","000.692","000.485",
03:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
03:00 - 00:00,Cekis,"001.531","001.327","001.239","001.334","001.788","001.065","001.169","000.877","001.071","001.042","000.659","000.699","000.696","000.905","001.094","001.335","001.321","001.031","000.922","000.812","000.878","001.031","000.944","000.813","001.111","000.804","000.628","000.597","000.600","000.691","000.486",
03:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
03:00 - 00:15,Cekis,"001.531","001.317","001.202","001.334","001.669","001.140","001.133","000.865","001.038","000.987","000.651","000.674","000.695","000.905","001.095","001.334","001.011","001.032","000.921","000.793","000.878","000.989","000.944","000.813","001.033","000.803","000.633","000.597","000.600","000.595","000.485",
03:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
03:00 - 00:30,Cekis,"001.520","001.317","001.202","001.333","001.781","001.134","001.119","000.866","001.039","000.980","000.648","000.661","000.697","000.905","001.093","001.335","001.231","001.031","000.922","000.796","000.878","000.989","000.943","000.813","000.994","000.802","000.632","000.597","000.601","000.594","000.485",
03:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
03:00 - 00:45,Cekis,"001.509","001.309","001.225","001.334","001.783","001.135","001.119","000.866","001.039","000.981","000.647","000.662","000.693","000.904","001.093","001.334","001.208","001.030","000.888","000.813","000.877","000.989","000.944","000.813","000.995","000.803","000.632","000.597","000.600","000.603","000.485",
04:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
